ID,RATE,GRADE,TinGRADE,SEX
1,865.38 ,2,1.5 ,0
2,819.90 ,4,0.5 ,0
3,675.00 ,2,1.5 ,0
4,1494.24 ,8,1.5 ,1
5,729.72 ,4,0.5 ,1
6,709.50 ,2,1.5 ,0
7,692.31 ,2,1.1 ,0
8,722.64 ,3,0.5 ,0
9,726.93 ,2,0.8 ,0
10,692.31 ,2,1.5 ,0
11,1142.31 ,6,0.5 ,1
12,1413.45 ,8,0.5 ,1
13,795.00 ,3,1.5 ,0
14,825.00 ,3,1.5 ,1
15,867.00 ,4,0.5 ,0
16,778.86 ,3,0.5 ,0
17,1057.38 ,5,0.5 ,1
18,705.57 ,1,1.5 ,0
19,1052.31 ,7,0.5 ,1
20,735.00 ,2,0.5 ,0
21,780.00 ,2,1.5 ,0
22,1254.81 ,7,0.5 ,1
23,1263.99 ,7,5.0 ,1
24,692.31 ,2,0.7 ,0
25,946.17 ,6,2.5 ,0
26,1409.85 ,8,5.0 ,1
27,747.00 ,2,1.5 ,0
28,789.00 ,2,2.5 ,0
29,1110.00 ,7,1.5 ,1
30,923.10 ,5,0.5 ,0
31,692.31 ,2,0.2 ,0
32,648.00 ,1,1.3 ,0
33,1067.31 ,7,1.5 ,0
34,870.00 ,5,2.5 ,1
35,882.48 ,5,2.5 ,0
36,885.00 ,3,1.5 ,1
37,909.00 ,3,0.5 ,1
38,1035.42 ,7,0.5 ,0
39,657.69 ,1,2.2 ,0
40,859.62 ,4,1.5 ,1
41,616.17 ,2,0.8 ,0
42,924.00 ,6,2.5 ,0
43,928.86 ,5,1.5 ,1
44,761.55 ,3,0.6 ,0
45,1223.10 ,7,2.5 ,1
46,907.20 ,4,3.5 ,1
47,1119.24 ,7,4.5 ,1
48,1050.00 ,4,0.5 ,0
49,1500.00 ,7,4.5 ,1
50,739.62 ,5,0.7 ,1
51,1182.72 ,8,0.5 ,0
52,990.00 ,5,2.5 ,0
53,1368.24 ,7,5.0 ,1
54,1384.62 ,8,0.5 ,1
55,834.00 ,3,0.5 ,0
56,1263.48 ,7,5.0 ,1
57,1153.86 ,6,5.0 ,1
58,1263.48 ,7,5.0 ,1
59,813.60 ,5,1.5 ,0
60,825.00 ,3,1.5 ,1
61,840.00 ,3,5.0 ,0
62,692.31 ,2,0.3 ,0
63,836.55 ,3,0.9 ,0
64,813.48 ,4,0.5 ,0
65,963.45 ,7,2.5 ,0
66,747.00 ,2,2.5 ,0
67,915.57 ,6,0.5 ,0
68,951.93 ,3,1.5 ,0
69,830.76 ,3,0.5 ,1
70,853.83 ,3,1.5 ,0
71,660.45 ,2,0.9 ,0
72,1174.14 ,6,0.5 ,1
73,1056.60 ,6,3.5 ,1
74,1230.00 ,7,1.5 ,1
75,628.26 ,1,1.0 ,0
76,761.55 ,2,1.6 ,0
77,885.00 ,5,0.5 ,0
78,865.38 ,4,0.1 ,0
79,1176.93 ,5,3.5 ,1
80,825.00 ,3,1.5 ,0
81,848.10 ,3,1.5 ,0
82,681.93 ,1,0.8 ,0
83,1240.41 ,7,5.0 ,1
84,1518.75 ,7,5.0 ,1
85,729.72 ,4,0.1 ,0
86,1500.00 ,8,3.3 ,1
87,805.83 ,5,0.4 ,1
88,813.48 ,2,1.5 ,0
89,801.00 ,3,0.5 ,1
90,894.24 ,4,0.1 ,0
91,825.00 ,4,0.5 ,0
92,892.50 ,5,1.5 ,0
93,687.00 ,2,2.5 ,0
94,796.17 ,3,0.5 ,0
95,702.00 ,2,1.2 ,0
96,788.04 ,1,0.5 ,0
97,1110.00 ,7,1.5 ,1
98,778.86 ,1,4.5 ,0
99,795.00 ,2,2.5 ,0
100,780.24 ,2,0.1 ,0
101,819.24 ,3,2.5 ,1
102,1228.86 ,8,4.5 ,1
103,810.00 ,5,0.5 ,0
104,630.00 ,1,0.2 ,0
105,729.72 ,4,0.5 ,0
106,1065.00 ,7,0.5 ,1
107,816.00 ,3,1.5 ,0
108,1171.50 ,7,5.0 ,1
109,723.48 ,2,1.3 ,0
110,957.72 ,6,3.0 ,1
111,1275.00 ,8,5.0 ,1
112,894.24 ,6,0.5 ,0
113,602.31 ,1,1.0 ,0
114,1003.86 ,7,2.5 ,0
115,1135.38 ,6,0.5 ,1
116,840.00 ,3,1.5 ,0
117,756.00 ,2,2.5 ,0
118,770.19 ,2,1.5 ,0
119,750.00 ,2,0.5 ,0
120,687.00 ,2,2.5 ,0
121,900.00 ,4,0.5 ,0
122,780.00 ,2,1.0 ,0
123,1427.91 ,7,5.0 ,1
124,1275.00 ,8,5.0 ,1
125,911.55 ,5,0.5 ,0
126,1174.02 ,7,0.5 ,1
127,709.65 ,2,1.8 ,0
128,1263.48 ,7,4.5 ,1
129,787.50 ,2,1.2 ,0
130,807.72 ,2,0.5 ,0
131,1338.48 ,7,5.0 ,1
132,807.69 ,4,2.2 ,0
133,1230.00 ,7,3.5 ,1
134,1024.29 ,7,0.5 ,0
135,588.48 ,1,1.1 ,0
136,905.79 ,5,0.8 ,0
137,1551.93 ,8,5.0 ,1
138,1176.93 ,5,5.0 ,1
139,801.93 ,2,1.2 ,0
140,612.00 ,1,0.5 ,0
141,1001.55 ,6,1.5 ,0
142,931.74 ,4,1.5 ,0
143,1190.79 ,7,1.5 ,1
144,729.72 ,4,0.1 ,0
145,1365.00 ,8,0.5 ,0
146,810.00 ,3,1.5 ,0
147,856.17 ,1,1.5 ,0
148,1269.24 ,7,3.5 ,1
149,624.00 ,2,0.8 ,0
150,865.41 ,4,0.5 ,0
151,697.86 ,1,0.9 ,0
152,1237.50 ,7,2.0 ,0
153,990.00 ,6,2.5 ,0
154,818.10 ,1,1.5 ,0
155,687.00 ,2,2.5 ,0
156,1067.31 ,7,1.5 ,0
157,729.72 ,4,0.5 ,1
158,1350.00 ,8,1.5 ,1
159,1384.62 ,8,5.0 ,1
160,866.85 ,5,1.5 ,0
161,1128.00 ,7,3.7 ,1
162,1081.74 ,6,5.0 ,0
163,1396.17 ,8,5.0 ,1
164,830.79 ,5,0.5 ,0
165,692.31 ,2,0.0 ,0
166,1130.76 ,7,4.5 ,1
167,836.55 ,3,0.1 ,0
168,735.00 ,2,0.5 ,0
169,1073.10 ,5,1.5 ,0
170,709.62 ,2,0.7 ,0
171,923.10 ,4,0.5 ,0
172,1200.00 ,6,0.9 ,0
173,894.00 ,4,1.5 ,1
174,804.00 ,2,1.5 ,0
175,590.19 ,1,0.8 ,0
176,913.86 ,6,0.5 ,0
177,588.48 ,1,1.0 ,0
178,780.00 ,5,0.5 ,0
179,623.10 ,1,0.3 ,0
180,717.00 ,1,0.7 ,0
181,761.55 ,4,0.7 ,0
182,1153.83 ,8,2.5 ,1
183,778.86 ,2,1.5 ,0
184,770.55 ,3,0.5 ,0
185,1350.00 ,8,1.5 ,1
186,1360.08 ,7,0.5 ,0
187,616.17 ,2,0.8 ,0
188,1427.91 ,8,5.0 ,1
189,812.73 ,5,1.5 ,1
190,739.62 ,5,0.5 ,1
191,634.62 ,2,0.2 ,0
192,817.26 ,5,0.5 ,0
193,713.10 ,2,1.5 ,0
194,951.93 ,6,1.5 ,0
195,1375.98 ,6,5.0 ,1
196,630.00 ,1,4.5 ,0
197,901.14 ,5,1.5 ,0
198,578.76 ,1,0.8 ,0
199,951.93 ,5,1.5 ,0
200,1125.00 ,6,0.5 ,1
201,663.48 ,2,0.5 ,0
202,1390.41 ,7,5.0 ,1
203,1038.48 ,7,0.7 ,0
204,720.00 ,2,0.2 ,0
205,960.00 ,7,4.5 ,1
206,755.76 ,2,2.3 ,0
207,597.12 ,1,0.9 ,0
208,623.10 ,2,0.5 ,0
209,756.00 ,2,2.5 ,0
210,804.00 ,1,3.5 ,1
211,1157.91 ,7,5.0 ,1
212,1148.10 ,7,2.5 ,0
213,1050.00 ,7,0.5 ,0
214,858.00 ,5,3.5 ,0
215,1003.86 ,6,2.5 ,1
216,1390.41 ,7,5.0 ,0
217,894.24 ,5,1.5 ,0
218,951.93 ,7,0.8 ,1
219,1200.00 ,7,0.5 ,1
220,842.31 ,3,0.5 ,0
221,1130.76 ,7,2.5 ,1
222,990.00 ,5,2.5 ,1
223,1073.10 ,7,3.5 ,0
224,690.00 ,2,0.7 ,0
225,960.60 ,5,5.0 ,0
226,761.55 ,2,0.8 ,0
227,1419.24 ,8,0.5 ,1
228,1257.72 ,7,5.0 ,1
229,900.00 ,3,1.5 ,0
230,804.00 ,3,1.5 ,1
231,1096.17 ,6,0.4 ,0
232,931.74 ,5,2.5 ,0
233,819.00 ,3,0.5 ,1
234,1055.76 ,7,2.5 ,0
235,764.43 ,3,0.5 ,0
236,1078.86 ,6,1.5 ,0
237,690.00 ,2,0.5 ,0
238,1182.72 ,6,0.5 ,1
239,836.55 ,5,0.2 ,0
240,928.86 ,5,0.5 ,0
241,835.11 ,5,1.5 ,0
242,886.17 ,3,1.5 ,0
243,805.86 ,5,0.5 ,1
244,928.86 ,6,0.5 ,0
245,1070.22 ,7,2.5 ,1
246,729.72 ,4,1.0 ,0
247,761.55 ,4,0.5 ,0
248,1052.88 ,7,0.5 ,0
249,1188.48 ,6,3.3 ,0
250,980.79 ,7,1.3 ,0
251,950.79 ,3,5.0 ,0
252,605.79 ,1,0.5 ,0
253,805.86 ,5,0.5 ,0
254,720.00 ,2,1.2 ,0
255,980.79 ,6,0.5 ,0
256,1038.45 ,7,2.5 ,0