Couple,EducLevel,Salary,Cars,Home,Savings,SCIndex
1,4,90,19,83,289,3
2,2,95,35,134,1130,3
3,2,99,46,110,583,5
4,3,130,24,69,1049,7
5,4,126,42,153,612,7
6,2,73,35,127,650,2
7,3,111,34,98,675,7
8,4,140,53,191,347,9
9,2,52,33,119,420,2
10,2,99,50,147,39,6
11,4,101,40,132,5,3
12,3,134,50,208,553,10
13,2,62,36,91,659,1
14,3,139,45,258,648,8
15,4,84,21,221,5,4
16,2,46,28,124,630,1
17,4,104,40,184,698,2
18,1,54,21,50,1247,1
19,2,88,49,193,471,4
20,3,119,57,265,81,10
21,4,125,59,157,5,8
22,2,87,40,177,507,6
23,3,73,52,183,5,4
24,4,114,46,150,55,4
25,3,104,49,176,385,5
26,2,112,53,183,815,7
27,3,106,44,164,810,4
28,3,103,42,127,572,4
29,3,135,59,270,521,10
30,4,96,40,66,166,3
31,3,70,21,57,817,1
32,4,71,21,50,500,1
33,1,26,34,61,320,1
34,2,104,39,165,325,6
35,1,103,55,156,623,7
36,2,60,40,88,335,1
37,4,95,45,231,5,9
38,2,83,39,125,508,3
39,3,97,34,107,686,5
40,4,78,36,146,61,3
41,3,77,41,182,344,4
42,3,107,55,140,105,6
43,4,83,40,88,121,2
44,3,71,32,161,477,1
45,1,71,46,102,788,1
46,4,116,46,172,91,8
47,2,65,36,51,513,2
48,2,68,35,176,590,2
49,1,90,53,214,306,6
50,2,77,31,80,894,3
51,2,103,48,229,509,6
52,3,110,35,50,867,4
53,4,115,45,88,345,6
54,2,102,44,272,372,9
55,3,63,24,100,481,2
56,2,103,37,64,980,3
57,3,121,71,254,5,9
58,1,100,46,140,979,4
59,3,99,42,142,753,3
60,4,119,48,250,5,8
61,2,121,37,59,535,5
62,2,89,47,122,557,4
63,4,86,28,103,589,2
64,4,83,29,78,533,2
65,2,71,24,66,797,2
66,2,113,40,195,1084,5
67,2,119,52,134,694,8
68,3,75,52,151,126,3
69,3,147,56,184,352,10
70,3,78,34,130,561,3
71,3,110,40,119,517,7
72,1,64,52,172,360,4
73,3,57,30,165,415,2
74,3,122,54,172,251,8
75,4,100,21,67,622,2
76,4,45,26,125,289,2
77,2,84,49,140,690,3
78,1,97,51,157,642,8
79,4,136,34,261,435,6
80,4,126,37,198,359,7
81,2,87,53,246,137,5
82,1,53,21,50,1255,1
83,3,79,37,160,489,2
84,3,119,39,99,778,6
85,3,107,46,124,331,6
86,2,93,36,138,651,5
87,2,108,34,130,525,6
88,4,117,39,238,59,8
89,3,106,44,129,551,8
90,2,122,46,148,858,6
91,3,112,47,186,6,8
92,2,83,38,57,593,2
93,4,103,39,170,370,6
94,4,120,41,199,683,4
95,4,104,26,99,669,3
96,4,99,29,69,491,4
97,3,118,47,296,5,10
98,4,99,41,157,337,3
99,4,109,35,184,304,6
100,3,69,24,82,721,1
101,3,132,53,200,99,8
102,4,124,34,98,530,4
103,2,75,49,205,644,4
104,2,64,42,139,468,1
105,3,79,41,84,460,4
106,2,75,37,190,877,1
107,3,136,48,229,847,9
108,2,96,42,120,566,5
109,3,113,61,243,466,7
110,3,55,16,88,812,1
111,1,103,44,50,1269,1
112,4,129,38,205,339,6
113,4,96,38,159,368,5
114,2,67,27,50,1170,1
115,2,81,41,183,544,3
116,3,121,40,210,500,8
117,3,109,47,132,150,7
118,2,95,42,207,599,7
119,3,167,56,232,484,10
120,2,115,52,89,600,7
121,3,107,51,188,363,6
122,4,148,48,191,422,8
123,4,121,46,198,5,9
124,3,107,47,111,513,5
125,2,111,51,203,596,8
126,1,58,38,165,353,3
127,2,88,38,143,659,4
128,2,84,39,121,709,5
129,4,82,11,50,433,2
130,2,89,32,112,1139,2
131,2,100,47,115,533,5
132,4,100,35,172,454,4
133,4,88,19,118,549,3
134,2,64,33,106,681,1
135,3,105,29,69,759,5
136,2,131,56,187,522,9
137,3,103,30,63,909,1
138,2,94,48,130,916,2
139,4,94,38,110,5,7
140,3,138,51,214,548,10
141,3,106,32,160,362,7
142,3,130,42,223,688,7
143,4,161,49,284,5,10
144,2,133,53,219,691,8
145,4,105,41,188,789,2
146,3,87,34,111,400,7
147,2,90,50,197,459,5
148,4,150,44,113,741,9
149,4,126,18,50,1003,5
150,3,109,47,104,571,6
151,3,75,28,131,606,2
152,4,116,46,156,21,5
153,2,99,47,157,420,5
154,4,111,38,128,499,5
155,4,131,55,248,5,10
156,3,104,42,130,568,4
157,2,123,55,238,550,9
158,4,89,38,229,5,6
159,2,95,32,77,1044,2
160,3,98,44,166,654,3
161,2,39,38,81,304,1
162,2,98,37,145,1196,2
163,4,129,45,164,162,8
164,4,107,37,163,668,5
165,4,97,46,239,93,6
166,2,76,37,115,563,2
167,3,92,32,86,726,4
168,4,65,32,119,112,1
169,4,116,37,123,836,2
170,3,108,56,147,88,7
171,3,75,37,50,177,1
172,3,61,29,138,493,1
173,2,93,25,75,1476,1
174,2,111,36,131,943,4
175,4,137,42,223,724,6
176,2,57,31,145,616,1
177,4,117,43,221,5,7
178,3,95,38,138,897,1
179,2,99,47,210,539,5
180,3,105,31,196,714,6
181,3,94,41,231,204,7
182,3,91,34,156,356,5
183,3,87,33,174,410,5
184,2,98,34,50,1067,2
185,3,114,55,185,332,7
186,1,102,46,144,965,5
187,4,157,38,222,536,10
188,4,114,46,167,361,6
189,2,113,61,341,516,7
190,2,82,45,97,617,3
191,4,88,28,106,583,3
192,2,100,49,188,746,7
193,2,64,9,50,1136,1
194,2,105,37,165,1108,4
195,2,121,53,139,686,8
196,4,115,40,191,359,5
197,4,106,24,139,702,4
198,3,72,32,114,577,2
199,3,105,38,97,543,6
200,1,66,54,183,289,4
201,3,91,43,122,477,5
202,2,99,44,50,302,4
203,4,93,47,139,5,3
204,4,141,54,232,349,10
205,2,85,50,145,683,3
206,2,135,64,258,389,9
207,1,99,44,251,1023,5
208,4,119,35,175,412,6
209,4,86,35,163,728,3
210,3,86,34,109,399,3
211,3,96,48,55,684,3
212,3,120,40,104,772,6
213,3,102,44,95,373,5
214,2,88,34,122,691,4
215,4,82,33,50,548,2
216,2,114,58,170,477,5
217,3,125,51,190,476,6
218,2,116,49,177,942,6
219,1,63,39,121,1137,1
220,3,123,56,217,343,8
221,3,144,47,134,549,8
222,2,74,43,111,386,3
223,4,98,24,79,739,3
224,3,118,50,193,656,5
225,2,77,33,109,798,4
226,2,120,43,50,611,6
227,2,39,30,65,594,1
228,3,58,20,58,750,2
229,4,76,41,176,5,4
230,2,50,29,77,732,1
231,3,115,42,136,496,3
232,2,54,38,116,509,1
233,3,94,51,160,281,6
234,3,91,43,95,298,4
235,4,84,35,71,264,2
236,3,59,34,153,364,5
237,2,93,46,149,612,4
238,3,59,18,98,786,1
239,2,119,47,104,1118,4
240,1,107,49,211,791,6
241,4,95,43,176,473,6
242,4,161,61,178,261,10
243,2,82,42,187,538,4
244,3,105,32,144,625,6
245,4,115,50,161,108,8
246,1,70,39,139,844,4
247,2,111,36,111,554,4
248,4,98,36,178,227,6
249,3,80,33,56,320,4
250,1,25,18,50,823,1
251,4,105,40,148,672,4
252,2,86,39,178,444,5
253,4,114,37,154,311,6
254,3,90,21,50,1044,2
255,1,70,33,91,1049,2
256,4,81,25,76,439,2
257,3,130,52,144,575,6
258,4,91,40,136,302,2
259,3,130,59,213,365,10
260,3,83,30,121,529,2
261,3,138,55,214,102,9
262,4,138,40,144,437,6
263,4,132,43,169,197,9
264,1,69,21,73,1243,1
265,3,89,46,238,244,8
266,4,96,33,224,317,6
267,3,62,27,171,550,2
268,3,140,52,220,545,10
269,2,66,37,100,645,1
270,2,103,53,206,288,9
271,4,119,36,168,758,4
272,4,123,36,153,426,5
273,4,106,41,191,5,6
274,2,59,23,50,1205,1